District,District Code,Grade,Count,%
Canterbury School District,0220011,K,N/A,N/A
Canterbury School District,0220011,1,N/A,N/A
Canterbury School District,0220011,2,N/A,N/A
Canterbury School District,0220011,3,N/A,N/A
Canterbury School District,0220011,4,N/A,N/A
Canterbury School District,0220011,5,*,*
Canterbury School District,0220011,6,*,*
Canterbury School District,0220011,7,6,7.7
Canterbury School District,0220011,8,*,*
Canterbury School District,0220011,9,N/A,*
Canton School District,0230011,K,N/A,N/A
Canton School District,0230011,1,N/A,N/A
Canton School District,0230011,2,N/A,N/A
Canton School District,0230011,3,N/A,N/A
Canton School District,0230011,4,N/A,N/A
Canton School District,0230011,5,*,*
Canton School District,0230011,6,*,*
Canton School District,0230011,7,7,4.8
Canton School District,0230011,8,10,7
Canton School District,0230011,9,*,*
Canton School District,0230011,10,8,6.3
Canton School District,0230011,11,*,*
Canton School District,0230011,12,*,*
Capital Preparatory Harbor School Inc. District,2970013,6,10,28.6
Capital Preparatory Harbor School Inc. District,2970013,7,6,15
Capital Preparatory Harbor School Inc. District,2970013,8,8,20
Capital Preparatory Harbor School Inc. District,2970013,9,8,25.8
Capital Preparatory Harbor School Inc. District,2970013,10,11,29.7
Capital Preparatory Harbor School Inc. District,2970013,11,7,25
Capital Preparatory Harbor School Inc. District,2970013,12,N/A,*
Capitol Region Education Council,2410014,K,N/A,N/A
Capitol Region Education Council,2410014,1,6,1.1
Capitol Region Education Council,2410014,2,*,*
Capitol Region Education Council,2410014,3,*,*
Capitol Region Education Council,2410014,4,*,*
Capitol Region Education Council,2410014,5,*,*
Capitol Region Education Council,2410014,6,78,11.8
Capitol Region Education Council,2410014,7,132,18.3
Capitol Region Education Council,2410014,8,118,17.5
Capitol Region Education Council,2410014,9,143,21.8
Capitol Region Education Council,2410014,10,160,24.7
Capitol Region Education Council,2410014,11,96,17.8
Capitol Region Education Council,2410014,12,82,17.3
Chaplin School District,0240011,K,N/A,N/A
Chaplin School District,0240011,1,N/A,N/A
Chaplin School District,0240011,2,N/A,*
Chaplin School District,0240011,3,N/A,N/A
Chaplin School District,0240011,4,N/A,*
Chaplin School District,0240011,5,N/A,N/A
Chaplin School District,0240011,6,*,*
Cheshire School District,0250011,K,N/A,N/A
Cheshire School District,0250011,1,*,*
Cheshire School District,0250011,2,*,*
Cheshire School District,0250011,3,*,*
Cheshire School District,0250011,4,10,3.3
Cheshire School District,0250011,5,*,*
Cheshire School District,0250011,6,*,*
Cheshire School District,0250011,7,13,3.5
Cheshire School District,0250011,8,13,3.6
Cheshire School District,0250011,9,10,2.6
Cheshire School District,0250011,10,22,6.3
Cheshire School District,0250011,11,24,6
Cheshire School District,0250011,12,43,10.8
Chester School District,0260011,K,N/A,N/A
Chester School District,0260011,1,N/A,N/A
Chester School District,0260011,2,N/A,N/A
Chester School District,0260011,3,N/A,N/A
Chester School District,0260011,4,N/A,N/A
Chester School District,0260011,5,N/A,N/A
Chester School District,0260011,6,N/A,N/A
Clinton School District,0270011,K,N/A,N/A
Clinton School District,0270011,1,*,*
Clinton School District,0270011,2,*,*
Clinton School District,0270011,3,*,*
Clinton School District,0270011,4,*,*
Clinton School District,0270011,5,*,*
Clinton School District,0270011,6,7,5
Clinton School District,0270011,7,*,*
Clinton School District,0270011,8,*,*
Clinton School District,0270011,9,*,*
Clinton School District,0270011,10,9,6.8
Clinton School District,0270011,11,13,9.9
Clinton School District,0270011,12,15,11.4
Colchester School District,0280011,K,N/A,N/A
Colchester School District,0280011,1,*,*
Colchester School District,0280011,2,N/A,N/A
Colchester School District,0280011,3,*,*
Colchester School District,0280011,4,*,*
Colchester School District,0280011,5,*,*
Colchester School District,0280011,6,*,*
Colchester School District,0280011,7,6,2.9
Colchester School District,0280011,8,12,6.2
Colchester School District,0280011,9,17,8.3
Colchester School District,0280011,10,18,8.1
Colchester School District,0280011,11,20,9.7
Colchester School District,0280011,12,12,5.3
Colebrook School District,0290011,K,N/A,*
Colebrook School District,0290011,1,N/A,*
Colebrook School District,0290011,2,N/A,*
Colebrook School District,0290011,3,*,*
Colebrook School District,0290011,4,N/A,*
Colebrook School District,0290011,5,N/A,*
Colebrook School District,0290011,6,N/A,*
Columbia School District,0300011,K,*,*
Columbia School District,0300011,1,N/A,N/A
Columbia School District,0300011,2,*,*
Columbia School District,0300011,3,N/A,N/A
Columbia School District,0300011,4,*,*
Columbia School District,0300011,5,*,*
Columbia School District,0300011,6,N/A,N/A
Columbia School District,0300011,7,*,*
Columbia School District,0300011,8,*,*
Columbia School District,0300011,9,N/A,*
Columbia School District,0300011,10,N/A,*
Columbia School District,0300011,11,N/A,*
Columbia School District,0300011,12,N/A,*
Common Ground High School District,2680013,9,*,*
Common Ground High School District,2680013,10,*,*
Common Ground High School District,2680013,11,*,*
Common Ground High School District,2680013,12,N/A,N/A
Connecticut Technical High School System,9000016,8,*,*
Connecticut Technical High School System,9000016,9,*,*
Connecticut Technical High School System,9000016,10,426,15.8
Connecticut Technical High School System,9000016,11,365,14.5
Connecticut Technical High School System,9000016,12,394,16.2
Cooperative Educational Services,2430014,K,N/A,N/A
Cooperative Educational Services,2430014,1,N/A,N/A
Cooperative Educational Services,2430014,2,N/A,N/A
Cooperative Educational Services,2430014,3,*,*
Cooperative Educational Services,2430014,4,*,*
Cooperative Educational Services,2430014,5,*,*
Cooperative Educational Services,2430014,6,N/A,N/A
Cooperative Educational Services,2430014,7,8,14.5
Cooperative Educational Services,2430014,8,6,9.7
Cooperative Educational Services,2430014,9,8,22.9
Cooperative Educational Services,2430014,10,6,19.4
Cooperative Educational Services,2430014,11,*,*
Cooperative Educational Services,2430014,12,9,11.3
Cornwall School District,0310011,K,N/A,*
Cornwall School District,0310011,1,N/A,*
Cornwall School District,0310011,2,N/A,*
Cornwall School District,0310011,3,*,*
Cornwall School District,0310011,4,N/A,*
Cornwall School District,0310011,5,N/A,*
Cornwall School District,0310011,6,N/A,*
Cornwall School District,0310011,7,*,*
Cornwall School District,0310011,8,N/A,*
Coventry School District,0320011,K,N/A,N/A
Coventry School District,0320011,1,N/A,N/A
Coventry School District,0320011,2,N/A,N/A
Coventry School District,0320011,3,*,*
Coventry School District,0320011,4,*,*
Coventry School District,0320011,5,*,*
Coventry School District,0320011,6,*,*
Coventry School District,0320011,7,*,*
Coventry School District,0320011,8,*,*
Coventry School District,0320011,9,9,8.7
Coventry School District,0320011,10,6,5.1
Coventry School District,0320011,11,*,*
Coventry School District,0320011,12,9,6.7
Cromwell School District,0330011,K,*,*
Cromwell School District,0330011,1,*,*
Cromwell School District,0330011,2,7,5
Cromwell School District,0330011,3,*,*
Cromwell School District,0330011,4,6,3.9
Cromwell School District,0330011,5,6,3.3
Cromwell School District,0330011,6,12,7.8
Cromwell School District,0330011,7,16,10.6
Cromwell School District,0330011,8,15,10.3
Cromwell School District,0330011,9,17,12.3
Cromwell School District,0330011,10,13,8.7
Cromwell School District,0330011,11,14,9.2
Cromwell School District,0330011,12,16,11.1
Danbury School District,0340011,K,*,*
Danbury School District,0340011,1,*,*
Danbury School District,0340011,2,*,*
Danbury School District,0340011,3,*,*
Danbury School District,0340011,4,*,*
Danbury School District,0340011,5,8,0.9
Danbury School District,0340011,6,64,7.9
Danbury School District,0340011,7,76,8.7
Danbury School District,0340011,8,72,8.7
Danbury School District,0340011,9,216,23.9
Danbury School District,0340011,10,140,18.9
Danbury School District,0340011,11,131,18.8
Danbury School District,0340011,12,98,13.4
Darien School District,0350011,K,*,*
Darien School District,0350011,1,N/A,N/A
Darien School District,0350011,2,N/A,N/A
Darien School District,0350011,3,N/A,N/A
Darien School District,0350011,4,*,*
Darien School District,0350011,5,N/A,N/A
Darien School District,0350011,6,N/A,N/A
Darien School District,0350011,7,N/A,N/A
Darien School District,0350011,8,*,*
Darien School District,0350011,9,7,2
Darien School District,0350011,10,6,1.7
Darien School District,0350011,11,9,2.7
Darien School District,0350011,12,6,1.7
Deep River School District,0360011,K,N/A,N/A
Deep River School District,0360011,1,N/A,N/A
Deep River School District,0360011,2,*,*
Deep River School District,0360011,3,*,*
Deep River School District,0360011,4,*,*
Deep River School District,0360011,5,*,*
Deep River School District,0360011,6,*,*
Department of Mental Health and Addiction Services,3370015,12,N/A,*
Derby School District,0370011,K,*,*
Derby School District,0370011,1,*,*
Derby School District,0370011,2,*,*
Derby School District,0370011,3,6,4.8
Derby School District,0370011,4,*,*
Derby School District,0370011,5,14,12.4
Derby School District,0370011,6,24,21.4
Derby School District,0370011,7,20,17.9
Derby School District,0370011,8,23,22.8
Derby School District,0370011,9,21,20.6
Derby School District,0370011,10,7,8.6
Derby School District,0370011,11,14,15.2
Derby School District,0370011,12,12,14.6
East Granby School District,0400011,K,N/A,N/A
East Granby School District,0400011,1,N/A,N/A
East Granby School District,0400011,2,N/A,N/A
East Granby School District,0400011,3,*,*
East Granby School District,0400011,4,*,*
East Granby School District,0400011,5,*,*
East Granby School District,0400011,6,*,*
East Granby School District,0400011,7,6,7.8
East Granby School District,0400011,8,*,*
East Granby School District,0400011,9,6,8.1
East Granby School District,0400011,10,10,16.7
East Granby School District,0400011,11,12,18.8
East Granby School District,0400011,12,14,19.2
East Haddam School District,0410011,K,N/A,N/A
East Haddam School District,0410011,1,N/A,N/A
East Haddam School District,0410011,2,N/A,N/A
East Haddam School District,0410011,3,N/A,N/A
East Haddam School District,0410011,4,*,*
East Haddam School District,0410011,5,N/A,N/A
East Haddam School District,0410011,6,N/A,N/A
East Haddam School District,0410011,7,*,*
East Haddam School District,0410011,8,*,*
East Haddam School District,0410011,9,*,*
East Haddam School District,0410011,10,*,*
East Haddam School District,0410011,11,*,*
East Haddam School District,0410011,12,*,*
East Hampton School District,0420011,K,N/A,N/A
East Hampton School District,0420011,1,N/A,N/A
East Hampton School District,0420011,2,N/A,N/A
East Hampton School District,0420011,3,N/A,N/A
East Hampton School District,0420011,4,*,*
East Hampton School District,0420011,5,*,*
East Hampton School District,0420011,6,6,3.9
East Hampton School District,0420011,7,10,7.4
East Hampton School District,0420011,8,*,*
East Hampton School District,0420011,9,6,4.6
East Hampton School District,0420011,10,13,11.8
East Hampton School District,0420011,11,10,7.5
East Hampton School District,0420011,12,10,6.5
East Hartford School District,0430011,K,*,*
East Hartford School District,0430011,1,*,*
East Hartford School District,0430011,2,11,1.9
East Hartford School District,0430011,3,14,2.7
East Hartford School District,0430011,4,17,3.3
East Hartford School District,0430011,5,37,7
East Hartford School District,0430011,6,38,8.8
East Hartford School District,0430011,7,97,19.4
East Hartford School District,0430011,8,96,18.9
East Hartford School District,0430011,9,194,32.7
East Hartford School District,0430011,10,134,28
East Hartford School District,0430011,11,106,22.6
East Hartford School District,0430011,12,116,21.3
East Haven School District,0440011,K,N/A,N/A
East Haven School District,0440011,1,*,*
East Haven School District,0440011,2,*,*
East Haven School District,0440011,3,*,*
East Haven School District,0440011,4,*,*
East Haven School District,0440011,5,*,*
East Haven School District,0440011,6,15,6.7
East Haven School District,0440011,7,34,13.4
East Haven School District,0440011,8,60,23.7
East Haven School District,0440011,9,54,22.4
East Haven School District,0440011,10,19,8.2
East Haven School District,0440011,11,27,11.7
East Haven School District,0440011,12,28,13.4
East Lyme School District,0450011,K,*,*
East Lyme School District,0450011,1,N/A,N/A
East Lyme School District,0450011,2,N/A,N/A
East Lyme School District,0450011,3,N/A,N/A
East Lyme School District,0450011,4,N/A,N/A
East Lyme School District,0450011,5,10,4.9
East Lyme School District,0450011,6,11,5.3
East Lyme School District,0450011,7,10,4.5
East Lyme School District,0450011,8,9,4.1
East Lyme School District,0450011,9,9,3.5
East Lyme School District,0450011,10,*,*
East Lyme School District,0450011,11,12,4.6
East Lyme School District,0450011,12,17,6.3
East Windsor School District,0470011,K,N/A,N/A
East Windsor School District,0470011,1,*,*
East Windsor School District,0470011,2,*,*
East Windsor School District,0470011,3,*,*
East Windsor School District,0470011,4,*,*
East Windsor School District,0470011,5,11,13.3
East Windsor School District,0470011,6,7,8.9
East Windsor School District,0470011,7,15,19.2
East Windsor School District,0470011,8,11,14.5
East Windsor School District,0470011,9,12,13.8
East Windsor School District,0470011,10,6,6.3
East Windsor School District,0470011,11,6,9
East Windsor School District,0470011,12,6,7.6
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,K,N/A,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,1,N/A,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,2,N/A,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,3,N/A,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,4,N/A,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,5,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,6,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,7,6,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,8,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,9,18,22.2
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,10,9,9.6
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,11,7,8
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,12,7,8.2
Eastford School District,0390011,K,N/A,*
Eastford School District,0390011,1,N/A,*
Eastford School District,0390011,2,N/A,*
Eastford School District,0390011,3,*,*
Eastford School District,0390011,4,N/A,*
Eastford School District,0390011,5,*,*
Eastford School District,0390011,6,N/A,*
Eastford School District,0390011,7,*,*
Eastford School District,0390011,8,*,*
Easton School District,0460011,K,N/A,N/A
Easton School District,0460011,1,N/A,N/A
Easton School District,0460011,2,*,*
Easton School District,0460011,3,*,*
Easton School District,0460011,4,N/A,N/A
Easton School District,0460011,5,N/A,N/A
Easton School District,0460011,6,*,*
Easton School District,0460011,7,*,*
Easton School District,0460011,8,*,*
EdAdvance,2420014,2,N/A,*
EdAdvance,2420014,3,N/A,*
EdAdvance,2420014,4,*,*
EdAdvance,2420014,5,*,*
EdAdvance,2420014,6,N/A,*
EdAdvance,2420014,7,*,*
EdAdvance,2420014,8,*,*
EdAdvance,2420014,9,*,*
EdAdvance,2420014,10,*,*
EdAdvance,2420014,11,*,*
EdAdvance,2420014,12,*,*
Ellington School District,0480011,K,*,*
Ellington School District,0480011,1,*,*
Ellington School District,0480011,2,11,5.4
Ellington School District,0480011,3,11,5.5
Ellington School District,0480011,4,*,*
Ellington School District,0480011,5,11,5
Ellington School District,0480011,6,*,*
Ellington School District,0480011,7,*,*
Ellington School District,0480011,8,18,8.5
Ellington School District,0480011,9,20,9.9
Ellington School District,0480011,10,13,7.3
Ellington School District,0480011,11,22,10.6
Ellington School District,0480011,12,19,10.4
Elm City College Preparatory School District,2890013,K,N/A,N/A
Elm City College Preparatory School District,2890013,1,*,*
Elm City College Preparatory School District,2890013,2,N/A,N/A
Elm City College Preparatory School District,2890013,3,*,*
Elm City College Preparatory School District,2890013,4,6,9.7
Elm City College Preparatory School District,2890013,5,15,22.1
Elm City College Preparatory School District,2890013,6,15,20.5
Elm City College Preparatory School District,2890013,7,9,15.5
Elm City College Preparatory School District,2890013,8,16,26.2
Elm City College Preparatory School District,2890013,9,24,64.9
Elm City College Preparatory School District,2890013,10,15,44.1
Elm City College Preparatory School District,2890013,11,13,37.1
Elm City College Preparatory School District,2890013,12,8,*
Elm City Montessori School District,2910013,K,N/A,N/A
Elm City Montessori School District,2910013,1,N/A,N/A
Enfield School District,0490011,K,*,*
Enfield School District,0490011,1,*,*
Enfield School District,0490011,2,*,*
Enfield School District,0490011,3,9,2.3
Enfield School District,0490011,4,15,3.9
Enfield School District,0490011,5,17,4.2
Enfield School District,0490011,6,26,7.4
Enfield School District,0490011,7,46,11.7
Enfield School District,0490011,8,50,14
Enfield School District,0490011,9,84,19.5
Enfield School District,0490011,10,57,15
Enfield School District,0490011,11,64,17
Enfield School District,0490011,12,51,12.2
Essex School District,0500011,K,N/A,N/A
Essex School District,0500011,1,N/A,N/A
Essex School District,0500011,2,N/A,N/A
Essex School District,0500011,3,N/A,N/A
Essex School District,0500011,4,N/A,N/A
Essex School District,0500011,5,N/A,N/A
Essex School District,0500011,6,N/A,N/A
Explorations District,2720013,9,*,*
Explorations District,2720013,10,7,35
Explorations District,2720013,11,*,*
Explorations District,2720013,12,*,*
Fairfield School District,0510011,K,N/A,N/A
Fairfield School District,0510011,1,N/A,N/A
Fairfield School District,0510011,2,N/A,N/A
Fairfield School District,0510011,3,N/A,N/A
Fairfield School District,0510011,4,N/A,N/A
Fairfield School District,0510011,5,N/A,N/A
Fairfield School District,0510011,6,17,2.2
Fairfield School District,0510011,7,32,3.9
Fairfield School District,0510011,8,25,3.1
Fairfield School District,0510011,9,37,4.7
Fairfield School District,0510011,10,25,3.2
Fairfield School District,0510011,11,36,4.9
Fairfield School District,0510011,12,36,4.7
Farmington School District,0520011,K,N/A,N/A
Farmington School District,0520011,1,*,*
Farmington School District,0520011,2,*,*
Farmington School District,0520011,3,*,*
Farmington School District,0520011,4,*,*
Farmington School District,0520011,5,*,*
Farmington School District,0520011,6,*,*
Farmington School District,0520011,7,*,*
Farmington School District,0520011,8,10,3.4
Farmington School District,0520011,9,*,*
Farmington School District,0520011,10,*,*
Farmington School District,0520011,11,11,3.5
Farmington School District,0520011,12,12,3.6
Franklin School District,0530011,K,N/A,*
Franklin School District,0530011,1,N/A,*
Franklin School District,0530011,2,N/A,*
Franklin School District,0530011,3,N/A,*
Franklin School District,0530011,4,N/A,*
Franklin School District,0530011,5,*,*
Franklin School District,0530011,6,*,*
Franklin School District,0530011,7,*,*
Franklin School District,0530011,8,*,*
